year,industryMediumClassName,rankInIndustry,brandName,corpName,franchiseStoreCount,averageSalesAmountKrwAssumed,startupTotalAmountKrwAssumed,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount
2025,한식,1,방가삼대 얼큰한뼈해장국,(주)방가삼대,11,41174356000,82000000,6,3,0
2025,한식,2,통큰손쭈꾸미마을,(주)하늘샘,8,5263188000,125450000,0,0,0
2025,한식,3,샤브올데이,(주)올데이프레쉬,49,3608627000,539440000,42,0,0
2025,한식,4,숙성도,(주)숙성도,9,3248291000,314000000,4,0,0
2025,한식,5,소플러스,(주)엔조이푸드시스템,39,2624065000,644500000,10,2,0
2025,한식,6,화사랑화로구이,(주)에프엘푸드시스템,4,2529737000,163950000,0,0,1
2025,한식,7,유박사곱창,에스에이㈜,1,2510702000,53300000,0,0,0
2025,한식,8,샤브20,(주)에스이컴퍼니,59,2477226000,500500000,28,0,0
2025,한식,9,자반고,(주)함평원,6,2267854000,200250000,3,1,0
2025,한식,10,삼해진미동해왕코다리,삼해진미동해왕코다리,1,2204420000,111200000,1,0,0
2025,한식,11,팔당족발,(주)피에프에프앤비,2,2204324000,127125000,2,0,0
2025,한식,12,먹보한우,(주)먹보에프앤비,10,2182588000,179690000,0,0,0
2025,한식,13,해장은 천수냉면,(주)천수에프앤비,33,2027822000,81100000,24,3,0
2025,한식,14,담가 화로구이,(주)담가,27,2010833000,283190000,27,0,0
2025,한식,15,철판한상by한와담,(주)엘아이지홈앤밀,1,1839775000,217700000,1,0,0
2025,한식,16,별미지교,다옴에프엠에스(주),5,1813828000,399374000,0,0,0
2025,한식,17,청기와타운,(주)제이에스와이푸드,31,1808186000,258000000,5,0,3
2025,한식,18,한와담,(주)엘아이지홈앤밀,5,1794717000,207100000,4,3,0
2025,한식,19,솔가숯불갈비,"(주)드림에프앤비(DreamF&BCo.,Ltd)",15,1717553000,166700000,4,0,0
2025,한식,20,샤브연리지,(주)늘봄에프엔씨,28,1711525000,223000000,19,1,0
2025,한식,21,해품장 팔팔장어,(주)진푸드빌,4,1707500000,324800000,0,0,0
2025,한식,22,갈비만,찰만식품,11,1682301000,283500000,1,0,0
2025,한식,23,한식의품격,깃든컴퍼니,10,1630000000,15410000,3,5,0
2025,한식,24,고반가든,(주)고반홀딩스,1,1594741000,356180000,0,0,0
2025,한식,25,우대포,(주)상상에프앤비,24,1581667000,127500000,24,0,0
2025,한식,26,장인닭갈비,(주)다이닝팩토리,17,1579494000,97940000,7,2,0
2025,한식,27,코다차야,(주)코다,4,1497807000,372480000,0,4,0
2025,한식,28,이백육십도,(주)해량,1,1477348000,176000000,0,0,0
2025,한식,29,해우리,(주)해우리홀딩스,9,1448292000,191300000,0,2,0
2025,한식,30,밤새먹소,(주)다자레코리아,10,1447260000,97950000,3,0,0
2025,커피,1,포레스트아웃팅스,포레스트아웃팅스,1,10933109000,3749000000,0,0,0
2025,커피,2,까사부사노,(주)문화의물결에프엔씨,2,1088261000,225600000,2,2,0
2025,커피,3,드립앤더치,연두커피인터내셔날(주),3,929032000,253430000,0,0,0
2025,커피,4,이너리트,(주)더빌드지아이앤,1,810000000,72360000,0,0,1
2025,커피,5,셀렉커피랩(SELECT),(주)셀렉코퍼레이션,5,802686000,76700000,4,0,0
2025,커피,6,9 BLOCK (나인블럭),(주)에스디인터내셔날,3,719042000,122200000,0,1,0
2025,커피,7,올선데이,㈜티피티(TPT),7,681495000,131500000,7,0,0
2025,커피,8,밀화당,(주)에스엠씨에프앤비,5,670037000,492800000,4,3,0
2025,커피,9, #커피플라잉스콘,㈜에스에스인터내셔널,4,628502000,250800000,3,0,0
2025,커피,10,카페달링,카페달링,20,588800000,36883000,8,0,0
2025,커피,11,투썸플레이스,투썸플레이스(주),1510,571726000,309800000,81,55,0
2025,커피,12,사운즈커피(SOUNDS COFFEE),㈜남다른생각,7,562356000,318400000,3,0,0
2025,커피,13,아덴플러스,와이제이와이푸드(주),3,558812000,387080000,0,0,0
2025,커피,14,씨이십칠(C27),㈜디앤지컴퍼니본,2,509036000,238800000,0,0,1
2025,커피,15,아토커피,(주)유엔유,15,504840000,33500000,5,0,0
2025,커피,16,하이테이블,(주)하이테이블,15,503527000,202065000,0,0,2
2025,커피,17,파라노이드,(주)에스엘투,2,503220000,162800000,1,0,1
2025,커피,18,스컹크웍스,(주)스컹크웍스코리아,3,474642000,341000000,1,2,1
2025,커피,19,카페데베르,(주)카페데베르,1,459262000,208000000,0,1,0
2025,커피,20,묵리459,묵리459,1,457297000,604000000,0,0,0
2025,커피,21,1리터셀(SELL)&디저트와플,1리터셀(SELL)&디저트와플,4,454155000,40500000,0,3,0
2025,커피,22,에이바우트커피,㈜메이크어베러(Makeabetter),53,445888000,309200000,6,1,3
2025,커피,23,PLUS 82(플러스 82),"(주)플러스82(PLUS82Co.,Ltd.)",146,423838000,85500000,42,12,3
2025,커피,24,온선데이커피,(주)엔피엔에프,1,421397000,110800000,0,0,0
2025,커피,25,이륜당,(주)이음에프앤비,17,420803000,60600000,3,4,0
2025,커피,26,지티(GT)커피,㈜효자동삼남매,5,414082000,119700000,2,0,0
2025,커피,27,유로스커피 로스터스,(주)유로스컴퍼니,4,405574000,167300000,1,1,0
2025,커피,28,르븨밀크,르븨밀크(LeveeMilk),1,404468000,97300000,0,0,0
2025,커피,29,파스쿠찌,(주)파리크라상,460,403244000,250300000,39,56,0
2025,커피,30,부바스,서컴퍼니,9,392916000,153800000,1,0,0
2025,일식,1,고메스퀘어,(주)고메코리아,14,6243713000,1643000000,13,0,0
2025,일식,2,쿠우쿠우,(주)쿠우쿠우,89,4807131000,1207000000,15,6,0
2025,일식,3,다이닝원,(주)다이닝원,15,3381659000,1159500000,0,1,0
2025,일식,4,상무초밥,(주)상무프랜차이즈,50,2449723000,264200000,0,0,0
2025,일식,5,"오,늘초밥",도원,3,1717764000,119018000,2,0,0
2025,일식,6,스시한판,(주)제이알에프앤씨,1,1691783000,110500000,0,0,1
2025,일식,7,탐나종합어시장,(주)골든밥코리아,38,1540025000,130900000,0,5,0
2025,일식,8,진스키야키,(주)진에프앤비,2,1479460000,154889000,1,0,0
2025,일식,9,스시이안앤,(주)스시이안,27,1302259000,202100000,17,0,1
2025,일식,10,스시신조,㈜신조에프앤에스,4,1244843000,198350000,1,0,0
2025,일식,11,으뜸스시,(주)으뜸에프엔비,9,1209445000,134750000,9,0,0
