year,industryLargeClassName,industryMediumClassName,brandCount,quantifiedSalesBrandCount,quantifiedStartupBrandCount,totalFranchiseStoreCount,totalNewFranchiseRegistrationCount,totalContractEndCount,totalContractCancellationCount,totalClosureLikeCount,averageBrandSalesKrw,medianBrandSalesKrw,averageBrandStartupCostKrw,medianBrandStartupCostKrw,averageStoresPerBrand,medianStoresPerBrand,averageNewRegistrationsPerBrand,averageEndCountsPerBrand,averageCancellationCountsPerBrand,newRegistrationRateByStore,closureLikeRateByStore,joinedBrandCoverageRate
2025,외식,일식,504,504,504,5052,1271,723,279,1002,236702490,46812500,103310238,86800000,10,3,3,1,1,0.2516,0.1983,1
2025,외식,중식,308,308,308,4173,903,585,170,755,217798208,0,102964403,86015000,14,1,3,2,1,0.2164,0.1809,1
2025,외식,기타 외국식,209,209,209,2312,443,622,133,755,192699244,74333000,96638641,82750000,11,2,2,3,1,0.1916,0.3266,1
2025,외식,한식,3664,3664,3664,43878,12055,6992,2238,9230,186832182,0,94742811,86390000,12,1,3,2,1,0.2747,0.2104,1
2025,외식,기타 외식,1172,1172,1172,18374,3099,3003,859,3862,182859491,36580500,89572965,76800000,16,3,3,3,1,0.1687,0.2102,1
2025,외식,피자,218,218,218,7986,934,699,284,983,172750055,109472000,69918633,60369000,37,5,4,3,1,0.117,0.1231,1
2025,외식,주점,488,488,488,10036,1884,1181,351,1532,166856326,0,106733551,90555000,21,2,4,2,1,0.1877,0.1527,1
2025,외식,서양식,274,274,274,2732,629,492,277,769,163275880,0,103032106,78290000,10,1,2,2,1,0.2302,0.2815,1
2025,외식,제과제빵,285,285,285,8711,823,557,337,894,149718691,24253000,125751758,87800000,31,2,3,2,1,0.0945,0.1026,1
2025,외식,패스트푸드,139,139,139,5584,741,423,106,529,148487619,0,99933475,73500000,40,1,5,3,1,0.1327,0.0947,1
2025,외식,분식,516,516,516,11146,1381,1384,613,1997,116383576,0,67396810,61963000,22,2,3,3,1,0.1239,0.1792,1
2025,외식,치킨,591,591,591,28750,3370,2224,1203,3427,114654712,35157000,58928729,52300000,49,4,6,4,2,0.1172,0.1192,1
2025,외식,커피,796,796,796,29091,4800,1725,985,2710,110563925,20058500,105919383,80330500,37,2,6,2,1,0.165,0.0932,1
2025,외식,아이스크림/빙수 ,72,72,72,3472,838,87,89,176,98442264,0,89745556,77550000,48,3,12,1,1,0.2414,0.0507,1
2025,외식,음료 (커피 외),101,101,101,2108,281,317,77,394,82785168,0,91043475,76100000,21,1,3,3,1,0.1333,0.1869,1
