year,industryLargeClassName,industryMediumClassName,brandCount,quantifiedSalesBrandCount,quantifiedStartupBrandCount,totalFranchiseStoreCount,totalNewFranchiseRegistrationCount,totalContractEndCount,totalContractCancellationCount,totalClosureLikeCount,averageBrandSalesKrw,medianBrandSalesKrw,averageBrandStartupCostKrw,medianBrandStartupCostKrw,averageStoresPerBrand,medianStoresPerBrand,averageNewRegistrationsPerBrand,averageEndCountsPerBrand,averageCancellationCountsPerBrand,newRegistrationRateByStore,closureLikeRateByStore,joinedBrandCoverageRate
2017,도소매,(건강)식품,18,18,18,2054,191,91,71,162,214240278,0,90474778,87160000,114,8,11,5,4,0.093,0.0789,1
2017,도소매,기타도소매,135,135,135,5775,1167,395,454,849,211544911,0,147992874,88550000,43,9,9,3,3,0.2021,0.147,1
2017,도소매,농수산물,15,15,15,237,68,19,29,48,137705533,0,66681667,72000000,16,2,5,1,2,0.2869,0.2025,1
2017,도소매,의류 / 패션,24,24,24,246,63,28,3,31,366526958,0,103347583,76740000,10,5,3,1,0,0.2561,0.126,1
2017,도소매,종합소매점,14,14,14,887,193,33,12,45,927178714,282880000,205715286,110851500,63,23,14,2,1,0.2176,0.0507,1
2017,도소매,편의점,28,28,28,35222,6324,1203,798,2001,275138357,300017500,65417107,61425000,1258,57,226,43,29,0.1795,0.0568,1
2017,도소매,화장품,26,26,26,4441,459,78,194,272,249230538,144815000,120263654,123914000,171,23,18,3,7,0.1034,0.0612,1
2017,서비스,교육 (교과),70,70,70,13923,3350,2394,632,3026,126021914,0,96500971,56110000,199,47,48,34,9,0.2406,0.2173,1
2017,서비스,교육 (외국어),95,95,95,17488,2946,1479,924,2403,131132789,0,143721937,78400000,184,23,31,16,10,0.1685,0.1374,1
2017,서비스,기타 교육,149,149,149,4910,877,276,205,481,61938430,0,112654913,71500000,33,8,6,2,1,0.1786,0.098,1
2017,서비스,기타 서비스,137,137,137,1837,665,57,63,120,48520759,0,137700212,104000000,13,3,5,0,0,0.362,0.0653,1
2017,서비스,반려동물 관련,18,18,18,210,42,22,19,41,133376667,61799000,135472389,113075000,12,6,2,1,1,0.2,0.1952,1
2017,서비스,배달,2,2,2,7,4,0,0,0,19114500,19114500,38047500,38047500,4,4,2,0,0,0.5714,0,1
2017,서비스,부동산 중개 ,3,3,3,19,5,0,0,0,77377000,0,32700000,36300000,6,9,2,0,0,0.2632,0,1
2017,서비스,세탁,23,23,23,3730,567,116,97,213,26056435,17159000,44250522,19600000,162,10,25,5,4,0.152,0.0571,1
2017,서비스,숙박,17,17,17,188,69,17,0,17,150436235,0,2480083824,524650000,11,7,4,1,0,0.367,0.0904,1
2017,서비스,스포츠 관련,56,56,56,1061,556,32,16,48,78833018,0,215259554,162670000,19,2,10,1,0,0.524,0.0452,1
2017,서비스,안경,47,47,47,2557,362,131,50,181,206907957,133903000,161675128,157300000,54,32,8,3,1,0.1416,0.0708,1
2017,서비스,약국,5,5,5,3749,285,136,53,189,0,0,59327000,20520000,750,759,57,27,11,0.076,0.0504,1
2017,서비스,오락,16,16,16,224,85,10,1,11,106094938,0,303118125,186970000,14,1,5,1,0,0.3795,0.0491,1
2017,서비스,운송,2,2,2,1575,15,1076,0,1076,0,0,110000,110000,788,788,8,538,0,0.0095,0.6832,1
2017,서비스,유아 관련 (교육 외),51,51,51,1427,218,63,137,200,101895902,0,265587118,173100000,28,6,4,1,3,0.1528,0.1402,1
2017,서비스,이미용,144,144,144,3874,716,261,123,384,98266451,0,132945993,116650000,27,8,5,2,1,0.1848,0.0991,1
2017,서비스,이사,7,7,7,548,69,71,3,74,41586714,0,18057143,17810000,78,57,10,10,0,0.1259,0.135,1
2017,서비스,인력 파견,13,13,13,216,28,12,8,20,44160769,0,19124154,15300000,17,15,2,1,1,0.1296,0.0926,1
2017,서비스,임대,3,3,3,7,4,0,0,0,0,0,89666667,121000000,2,0,1,0,0,0.5714,0,1
2017,서비스,자동차 관련,50,50,50,7473,1049,607,95,702,69367840,0,87211300,73860000,149,12,21,12,2,0.1404,0.0939,1
2017,서비스,PC방,24,24,24,1392,508,308,71,379,64227708,0,161959167,144250000,58,21,21,13,3,0.3649,0.2723,1
2017,외식,기타 외국식,69,69,69,542,204,24,19,43,148519130,0,108821565,85500000,8,2,3,0,0,0.3764,0.0793,1
2017,외식,기타 외식,669,669,669,11247,3091,1262,526,1788,159680975,0,131662889,85520000,17,4,5,2,1,0.2748,0.159,1
2017,외식,분식,285,285,285,7433,1733,663,363,1026,92599028,0,68467428,59310000,26,6,6,2,1,0.2331,0.138,1
2017,외식,서양식,115,115,115,822,238,71,15,86,123125670,0,163738757,138870000,7,2,2,1,0,0.2895,0.1046,1
2017,외식,아이스크림/빙수 ,42,42,42,2148,246,185,72,257,72107738,0,622043881,106900000,51,5,6,4,2,0.1145,0.1196,1
2017,외식,음료 (커피 외),49,49,49,1821,1190,123,34,157,64905980,0,100241878,77300000,37,3,24,3,1,0.6535,0.0862,1
2017,외식,일식,128,128,128,1355,363,138,82,220,177744313,0,124735234,90715000,11,2,3,1,1,0.2679,0.1624,1
2017,외식,제과제빵,163,163,163,7310,1128,388,182,570,96585196,0,108403564,80210000,45,4,7,2,1,0.1543,0.078,1
2017,외식,주점,235,235,235,8832,1845,1207,341,1548,153194443,129337000,90293502,73900000,38,12,8,5,1,0.2089,0.1753,1
2017,외식,중식,67,67,67,926,238,113,42,155,124241075,0,110471791,106000000,14,1,4,2,1,0.257,0.1674,1
2017,외식,치킨,336,336,336,24117,3284,2358,749,3107,104230503,81083500,58548830,50975000,72,14,10,7,2,0.1362,0.1288,1
2017,외식,커피,275,275,275,12437,2771,971,381,1352,81777985,0,122594113,96160000,45,6,10,4,1,0.2228,0.1087,1
2017,외식,패스트푸드,67,67,67,3409,579,185,102,287,139963776,0,98844791,68330000,51,7,9,3,2,0.1698,0.0842,1
2017,외식,피자,99,99,99,6164,695,323,196,519,119947424,97422000,82316030,63500000,62,12,7,3,2,0.1128,0.0842,1
2017,외식,한식,1032,1032,1032,18866,4604,1508,710,2218,147902161,0,109792041,95450000,18,4,4,1,1,0.244,0.1176,1
2018,도소매,(건강)식품,18,18,18,1744,107,49,16,65,193614611,0,79973833,79270000,97,2,6,3,1,0.0614,0.0373,1
2018,도소매,기타도소매,150,150,150,6597,1010,353,169,522,200121507,0,156693947,92749500,44,7,7,2,1,0.1531,0.0791,1
2018,도소매,농수산물,16,16,16,305,69,29,2,31,128295438,0,67411563,60750000,19,8,4,2,0,0.2262,0.1016,1
2018,도소매,의류 / 패션,22,22,22,235,48,23,6,29,127886136,19091000,104112727,84035000,11,7,2,1,0,0.2043,0.1234,1
2018,도소매,종합소매점,14,14,14,1109,275,40,18,58,1078190571,561200000,223839000,148305000,79,33,20,3,1,0.248,0.0523,1
2018,도소매,편의점,30,30,30,40170,6943,1057,939,1996,272336900,258714500,66032300,61125000,1339,47,231,35,31,0.1728,0.0497,1
2018,도소매,화장품,23,23,23,4345,305,134,232,366,238361130,254834000,124052130,126033000,189,29,13,6,10,0.0702,0.0842,1
2018,서비스,교육 (교과),68,68,68,14497,3637,2616,434,3050,133466074,9757000,86969162,40000000,213,60,53,38,6,0.2509,0.2104,1
2018,서비스,교육 (외국어),98,98,98,17045,2788,2678,598,3276,121408827,6257000,150799347,80565000,174,28,28,27,6,0.1636,0.1922,1
2018,서비스,기타 교육,161,161,161,5561,1103,190,170,360,66059230,0,113275702,71500000,35,7,7,1,1,0.1983,0.0647,1
2018,서비스,기타 서비스,163,163,163,2541,816,108,89,197,54831945,0,128285288,106120000,16,4,5,1,1,0.3211,0.0775,1
2018,서비스,반려동물 관련,20,20,20,230,46,7,4,11,107511950,39134500,113047650,113450000,12,4,2,0,0,0.2,0.0478,1
2018,서비스,배달,2,2,2,4,0,0,0,0,0,0,40050000,40050000,2,2,0,0,0,0,0,1
2018,서비스,부동산 중개 ,3,3,3,22,3,0,0,0,71297667,0,35666667,45200000,7,9,1,0,0,0.1364,0,1
2018,서비스,세탁,26,26,26,4069,677,178,78,256,39486115,0,46716615,21163500,157,10,26,7,3,0.1664,0.0629,1
2018,서비스,숙박,20,20,20,230,68,10,11,21,311577050,61420500,3358938250,490950000,12,7,3,1,1,0.2957,0.0913,1
2018,서비스,스포츠 관련,54,54,54,1664,735,58,16,74,62222426,0,211647241,143565000,31,2,14,1,0,0.4417,0.0445,1
2018,서비스,안경,49,49,49,2708,292,94,28,122,213829388,135300000,176521265,172200000,55,23,6,2,1,0.1078,0.0451,1
2018,서비스,약국,5,5,5,3888,327,95,93,188,0,0,62407000,32020000,778,775,65,19,19,0.0841,0.0484,1
2018,서비스,오락,14,14,14,383,145,9,5,14,107736357,0,313321357,165450000,27,13,10,1,0,0.3786,0.0366,1
2018,서비스,운송,5,5,5,1444,24,155,0,155,0,0,4813200,715000,289,0,5,31,0,0.0166,0.1073,1
2018,서비스,유아 관련 (교육 외),53,53,53,1315,220,106,26,132,91031642,0,264228623,220600000,25,5,4,2,0,0.1673,0.1004,1
2018,서비스,이미용,150,150,150,4416,894,296,68,364,126276580,0,133022787,116750000,29,9,6,2,0,0.2024,0.0824,1
2018,서비스,이사,6,6,6,536,47,59,0,59,81622833,27313500,17043333,12300000,89,88,8,10,0,0.0877,0.1101,1
2018,서비스,인력 파견,14,14,14,236,54,26,18,44,51428786,0,20325929,20300000,17,11,4,2,1,0.2288,0.1864,1
2018,서비스,임대,5,5,5,13,8,0,2,2,31978600,0,161560000,139200000,3,2,2,0,0,0.6154,0.1538,1
2018,서비스,자동차 관련,50,50,50,7640,581,248,100,348,76359220,0,93847040,74108500,153,14,12,5,2,0.076,0.0455,1
2018,서비스,PC방,35,35,35,1377,523,195,116,311,96837686,0,160315543,146000000,39,9,15,6,3,0.3798,0.2259,1
2018,외식,기타 외국식,89,89,89,908,382,61,29,90,173345270,0,105134618,85650000,10,3,4,1,0,0.4207,0.0991,1
2018,외식,기타 외식,729,729,729,15128,4099,1590,643,2233,188889454,0,108930409,86110000,21,6,6,2,1,0.271,0.1476,1
2018,외식,분식,293,293,293,8185,1883,607,295,902,96825468,0,67957212,59970000,28,5,6,2,1,0.2301,0.1102,1
2018,외식,서양식,111,111,111,906,298,83,53,136,155614000,0,159672586,141650000,8,3,3,1,0,0.3289,0.1501,1
2018,외식,아이스크림/빙수 ,36,36,36,2078,202,141,51,192,71202917,0,133325833,126368500,58,3,6,4,1,0.0972,0.0924,1
2018,외식,음료 (커피 외),54,54,54,1663,281,243,51,294,50680370,0,1813286222,74475000,31,2,5,5,1,0.169,0.1768,1
2018,외식,일식,157,157,157,1608,536,136,50,186,165347911,0,121876013,96130000,10,2,3,1,0,0.3333,0.1157,1
2018,외식,제과제빵,140,140,140,7895,1487,400,172,572,118091150,0,116776507,84181000,56,5,11,3,1,0.1883,0.0725,1
2018,외식,주점,229,229,229,7994,1463,964,238,1202,152407236,116404000,92123000,73400000,35,10,6,4,1,0.183,0.1504,1
2018,외식,중식,70,70,70,906,210,114,59,173,141916429,0,114517429,103683000,13,2,3,2,1,0.2318,0.1909,1
2018,외식,치킨,365,365,365,24325,3223,2354,680,3034,101138230,72606000,57293611,50776000,67,11,9,6,2,0.1325,0.1247,1
2018,외식,커피,292,292,292,13192,2635,1042,383,1425,77159562,0,118143935,89150000,45,5,9,4,1,0.1997,0.108,1
2018,외식,패스트푸드,65,65,65,3495,541,185,102,287,103618477,0,112055954,71280000,54,7,8,3,2,0.1548,0.0821,1
2018,외식,피자,106,106,106,6298,737,305,120,425,112725566,33251500,77050519,61966000,59,11,7,3,1,0.117,0.0675,1
2018,외식,한식,1124,1124,1124,18260,4357,1885,658,2543,147840762,0,107143776,95500000,16,3,4,2,1,0.2386,0.1393,1
2019,도소매,(건강)식품,13,13,13,1511,38,46,40,86,89531846,0,82294462,86120000,116,3,3,4,3,0.0251,0.0569,1
2019,도소매,기타도소매,154,154,154,6427,778,336,173,509,214718448,24382000,159613883,94075000,42,7,5,2,1,0.1211,0.0792,1
2019,도소매,농수산물,17,17,17,641,178,86,75,161,95545529,0,51570118,47000000,38,2,10,5,4,0.2777,0.2512,1
2019,도소매,의류 / 패션,23,23,23,185,31,39,8,47,110795609,0,81341870,72500000,8,5,1,2,0,0.1676,0.2541,1
2019,도소매,종합소매점,13,13,13,1283,300,41,20,61,906622692,226749000,228300077,140300000,99,16,23,3,2,0.2338,0.0475,1
2019,도소매,편의점,26,26,26,42687,5325,1504,1204,2708,280136423,259519500,62905923,54416500,1642,65,205,58,46,0.1247,0.0634,1
2019,도소매,화장품,19,19,19,3676,176,350,394,744,234137789,232537000,116561368,123333000,193,53,9,18,21,0.0479,0.2024,1
2019,서비스,교육 (교과),64,64,64,14723,3402,1886,788,2674,121326344,14920500,83132453,55825000,230,60,53,29,12,0.2311,0.1816,1
2019,서비스,교육 (외국어),107,107,107,17617,3275,1611,797,2408,133786972,8964000,147759140,85800000,165,26,31,15,7,0.1859,0.1367,1
2019,서비스,기타 교육,168,168,168,5998,971,278,227,505,64484000,0,121674607,74800000,36,8,6,2,1,0.1619,0.0842,1
