sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption
brand_franchise_stats,2017,외식,한식,정현 육가공, 돈주면돼지,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,와우드림, 두배갈비,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,농업회사법인 (주)을과 함께, 뿔발,24,24,0,0,0,143789,143789000,13651,13651000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주) 황소코리아, 파란간판 원조황소집,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,123막창,123막창,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,주식회사에스엔알푸드,153포인츠(POINTZ),9,5,1,0,0,359972,359972000,10432,10432000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)제이에스일인자,1인자감자탕,32,5,10,0,1,428536,428536000,10218,10218000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,2대맛태,2代맛태,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,3대서가,3대서가밀면,10,5,2,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)삼안에프씨,3일장터,1,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)오점오,5.5닭갈비,58,5,6,0,4,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,79네 푸드컴퍼니(주),79네 수육국밥,8,5,0,0,0,479705,479705000,12731,12731000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)8푸드,8292(팔이구이),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)웰미가베스트푸드,88콩나물국밥,4,4,0,0,0,14650,14650000,733,733000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)나눔에프씨,G글G글오돌구이 ,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,인동주마을,JD인동주마을,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)섬김과나눔,THE진국,47,15,2,0,5,503677,503677000,15994,15994000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,가리본가,가리본가,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주) 솔푸드시스템,가마깨비,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)도시방앗간,가마솥국밥.보쌈,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,농업회사법인유한회사 가소앤누갈비,가소,4,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)가인채,가인채샤브샤브&amp;샐러드,18,1,3,0,1,790139,790139000,6843,6843000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,(주)가장맛있는족발,가장맛있는족발,302,87,2,3,12,732982,732982000,21768,21768000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,농업회사법인(주)촌놈푸드,갈비박스,5,2,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,푸드테인먼트,갈비씨,17,2,13,0,0,222285,222285000,8061,8061000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,갈비에 빠지다,갈비에 빠지다,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,드림위드FC,갈통삼,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,주식회사 갑오푸드,갑오삼계탕,1,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2017,외식,한식,강가네해물섞어찜,강가네해물섞어찜,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
