sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseFeeAmountRaw,franchiseFeeAmountKrwAssumed,educationFeeAmountRaw,educationFeeAmountKrwAssumed,depositAmountRaw,depositAmountKrwAssumed,otherStartupAmountRaw,otherStartupAmountKrwAssumed,startupTotalAmountRaw,startupTotalAmountKrwAssumed,amountUnitAssumption
brand_startup_stats,2017,외식,한식,정현 육가공, 돈주면돼지,5500,5500000,2200,2200000,5000,5000000,85250,85250000,97950,97950000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,와우드림, 두배갈비,5500,5500000,3300,3300000,3000,3000000,73150,73150000,84950,84950000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,농업회사법인 (주)을과 함께, 뿔발,3300,3300000,2200,2200000,0,0,22550,22550000,28050,28050000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,(주) 황소코리아, 파란간판 원조황소집,3300,3300000,3300,3300000,3000,3000000,86900,86900000,96500,96500000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,123막창,123막창,11000,11000000,3300,3300000,0,0,53000,53000000,67300,67300000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,주식회사에스엔알푸드,153포인츠(POINTZ),11000,11000000,5500,5500000,5000,5000000,158510,158510000,180010,180010000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,(주)제이에스일인자,1인자감자탕,5500,5500000,0,0,3000,3000000,67000,67000000,75500,75500000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,2대맛태,2代맛태,5500,5500000,2200,2200000,2000,2000000,73150,73150000,82850,82850000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,3대서가,3대서가밀면,4400,4400000,4400,4400000,2000,2000000,116600,116600000,127400,127400000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_startup_stats,2017,외식,한식,(주)삼안에프씨,3일장터,11000,11000000,5500,5500000,0,0,148885,148885000,165385,165385000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
