id,sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption,hasStartupStats,franchiseFeeAmountRaw,franchiseFeeAmountKrwAssumed,educationFeeAmountRaw,educationFeeAmountKrwAssumed,depositAmountRaw,depositAmountKrwAssumed,otherStartupAmountRaw,otherStartupAmountKrwAssumed,startupTotalAmountRaw,startupTotalAmountKrwAssumed
2025||외식||한식||(주)방가삼대||방가삼대 얼큰한뼈해장국,brand_franchise_stats,2025,외식,한식,(주)방가삼대,방가삼대 얼큰한뼈해장국,11,6,3,0,0,41174356,41174356000,899837,899837000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,6600,6600000,4400,4400000,5000,5000000,66000,66000000,82000,82000000
2025||외식||커피||포레스트아웃팅스||포레스트아웃팅스,brand_franchise_stats,2025,외식,커피,포레스트아웃팅스,포레스트아웃팅스,1,0,0,0,0,10933109,10933109000,36083,36083000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,33000,33000000,22000,22000000,20000,20000000,3674000,3674000000,3749000,3749000000
2025||외식||일식||(주)고메코리아||고메스퀘어,brand_franchise_stats,2025,외식,일식,(주)고메코리아,고메스퀘어,14,13,0,0,1,6243713,6243713000,20353,20353000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,11000,11000000,50000,50000000,1560000,1560000000,1643000,1643000000
2025||외식||한식||(주)하늘샘||통큰손쭈꾸미마을,brand_franchise_stats,2025,외식,한식,(주)하늘샘,통큰손쭈꾸미마을,8,0,0,0,1,5263188,5263188000,103795,103795000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,5000,5000000,109450,109450000,125450,125450000
2025||외식||기타 외식||(주)바른식||바른식 시골보쌈&감자옹심이,brand_franchise_stats,2025,외식,기타 외식,(주)바른식,바른식 시골보쌈&감자옹심이,3,0,1,0,0,5018930,5018930000,103515,103515000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,5000,5000000,126300,126300000,147800,147800000
2025||외식||일식||(주)쿠우쿠우||쿠우쿠우,brand_franchise_stats,2025,외식,일식,(주)쿠우쿠우,쿠우쿠우,89,15,6,0,3,4807131,4807131000,18012,18012000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,11000,11000000,0,0,1174000,1174000000,1207000,1207000000
2025||외식||한식||(주)올데이프레쉬||샤브올데이,brand_franchise_stats,2025,외식,한식,(주)올데이프레쉬,샤브올데이,49,42,0,0,2,3608627,3608627000,26140,26140000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,55440,55440000,5280,5280000,0,0,478720,478720000,539440,539440000
2025||외식||일식||(주)다이닝원||다이닝원,brand_franchise_stats,2025,외식,일식,(주)다이닝원,다이닝원,15,0,1,0,2,3381659,3381659000,12946,12946000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,15400,15400000,6600,6600000,10000,10000000,1127500,1127500000,1159500,1159500000
2025||외식||한식||(주)숙성도||숙성도,brand_franchise_stats,2025,외식,한식,(주)숙성도,숙성도,9,4,0,0,1,3248291,3248291000,21935,21935000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,33000,33000000,11000,11000000,0,0,270000,270000000,314000,314000000
2025||외식||패스트푸드||한국맥도날드(유)||맥도날드,brand_franchise_stats,2025,외식,패스트푸드,한국맥도날드(유),맥도날드,55,0,2,15,0,3072722,3072722000,26912,26912000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,32256,32256000,0,0,0,0,1000000,1000000000,1032256,1032256000
