sourceDataset,requestedYear,franchiseBusinessCriteriaYear,accountingYear,industryLargeClassName,industryMediumClassName,franchiseStoreCount,averageNewOpenBusinessCount,averageContractEndCount,averageContractCancellationCount
industry_fluctuation,2017,2017,2016,외식,한식,18485,4,1,1
industry_fluctuation,2017,2017,2016,외식,분식,7415,6,1,2
industry_fluctuation,2017,2017,2016,외식,중식,926,4,1,2
industry_fluctuation,2017,2017,2016,외식,일식,1276,3,1,1
industry_fluctuation,2017,2017,2016,외식,서양식,822,2,0,1
industry_fluctuation,2017,2017,2016,외식,기타 외국식,528,3,0,0
industry_fluctuation,2017,2017,2016,외식,패스트푸드,3294,10,2,3
industry_fluctuation,2017,2017,2016,외식,치킨,22012,9,2,7
industry_fluctuation,2017,2017,2016,외식,피자,6138,7,2,3
industry_fluctuation,2017,2017,2016,외식,제과제빵,7244,7,1,3
industry_fluctuation,2017,2017,2016,외식,아이스크림/빙수 ,2120,6,2,4
industry_fluctuation,2017,2017,2016,외식,커피,12426,10,1,4
industry_fluctuation,2017,2017,2016,외식,음료 (커피 외),1839,24,1,2
industry_fluctuation,2017,2017,2016,외식,주점,8824,8,1,5
industry_fluctuation,2017,2017,2016,외식,기타 외식,11177,5,1,2
industry_fluctuation,2017,2017,2016,도소매,편의점,33480,195,28,37
industry_fluctuation,2017,2017,2016,도소매,의류 / 패션,275,3,0,1
industry_fluctuation,2017,2017,2016,도소매,화장품,4101,15,7,3
industry_fluctuation,2017,2017,2016,도소매,농수산물,237,5,2,1
industry_fluctuation,2017,2017,2016,도소매,(건강)식품,2054,13,5,6
industry_fluctuation,2017,2017,2016,도소매,종합소매점,887,14,1,2
industry_fluctuation,2017,2017,2016,도소매,기타도소매,6048,9,3,3
industry_fluctuation,2017,2017,2016,서비스,교육 (교과),13923,49,9,35
industry_fluctuation,2017,2017,2016,서비스,교육 (외국어),17787,31,10,16
industry_fluctuation,2017,2017,2016,서비스,기타 교육,5205,6,2,2
industry_fluctuation,2017,2017,2016,서비스,유아 관련 (교육 외),1426,4,3,1
industry_fluctuation,2017,2017,2016,서비스,부동산 중개 ,19,2,0,0
industry_fluctuation,2017,2017,2016,서비스,임대,7,1,0,0
industry_fluctuation,2017,2017,2016,서비스,숙박,108,3,0,1
industry_fluctuation,2017,2017,2016,서비스,스포츠 관련,849,7,0,1
