sourceDataset,year,industryLargeClassName,industryMediumClassName,totalFranchiseStoreCount,newFranchiseRegistrationCount,newFranchiseRate,closureLikeFranchiseCount,closureLikeRate,previousYearNewRate,previousYearNewDifferenceRate,previousYearClosureRate,previousYearNetDifferenceRate
industry_open_close_out,2017,외식,치킨,20779,2854,13.74,2790,13.43,16.18,-2.44,11.12,2.31
industry_open_close_out,2017,외식,한식,17658,4454,25.22,2110,11.95,23.11,2.11,13.8,-1.86
industry_open_close_out,2017,외식,커피,12387,2749,22.19,1341,10.83,27.2,-5.01,9.06,1.77
industry_open_close_out,2017,외식,기타 외식,11105,3042,27.39,1759,15.84,31.14,-3.75,13.14,2.7
industry_open_close_out,2017,외식,주점,8273,1735,20.97,1384,16.73,19.63,1.34,15.63,1.1
industry_open_close_out,2018,외식,치킨,24088,3203,13.3,2960,12.29,13.74,-0.44,13.43,-1.14
industry_open_close_out,2018,외식,한식,17826,4237,23.77,2441,13.69,25.22,-1.46,11.95,1.74
industry_open_close_out,2018,외식,기타 외식,14952,4011,26.83,2049,13.7,27.39,-0.57,15.84,-2.14
industry_open_close_out,2018,외식,커피,13119,2606,19.86,1409,10.74,22.19,-2.33,10.83,-0.09
industry_open_close_out,2018,외식,분식,8154,1849,22.68,895,10.98,23.21,-0.53,13.83,-2.86
industry_open_close_out,2019,외식,치킨,24733,3859,15.6,2869,11.6,13.3,2.31,12.29,-0.69
industry_open_close_out,2019,외식,한식,19801,4871,24.6,2465,12.45,23.77,0.83,13.69,-1.24
industry_open_close_out,2019,외식,기타 외식,16698,3973,23.79,2231,13.36,26.83,-3.03,13.7,-0.34
industry_open_close_out,2019,외식,커피,14560,3009,20.67,1587,10.9,19.86,0.8,10.74,0.16
industry_open_close_out,2019,외식,제과제빵,8114,1066,13.14,748,9.22,18.61,-5.48,7.12,2.1
industry_open_close_out,2020,외식,치킨,25255,4194,16.61,2845,11.27,15.6,1,11.6,-0.33
industry_open_close_out,2020,외식,한식,24130,7095,29.4,3237,13.41,24.6,4.8,12.45,0.97
industry_open_close_out,2020,외식,기타 외식,16257,4440,27.31,2392,14.71,23.79,3.52,13.36,1.35
industry_open_close_out,2020,외식,커피,15770,3279,20.79,1356,8.6,20.67,0.13,10.9,-2.3
industry_open_close_out,2020,외식,분식,9281,2451,26.41,1045,11.26,21,5.41,10.51,0.75
industry_open_close_out,2021,외식,치킨,25781,5206,20.19,3033,11.76,16.61,3.59,11.27,0.5
industry_open_close_out,2021,외식,한식,25617,8274,32.3,3546,13.84,29.4,2.9,13.41,0.43
industry_open_close_out,2021,외식,커피,17852,4253,23.82,1409,7.89,20.79,3.03,8.6,-0.71
industry_open_close_out,2021,외식,기타 외식,17033,4504,26.44,2641,15.51,27.31,-0.87,14.71,0.79
industry_open_close_out,2021,외식,분식,9894,3022,30.54,1228,12.41,26.41,4.13,11.26,1.15
industry_open_close_out,2022,외식,분식,12490,3964,31.74,1897,15.19,29.79,1.94,12.08,3.11
industry_open_close_out,2022,외식,기타 외식,19638,5581,28.42,2862,14.57,26.37,2.05,15.19,-0.61
industry_open_close_out,2022,외식,커피,22549,5640,25.01,1689,7.49,23.82,1.19,7.87,-0.38
industry_open_close_out,2022,외식,치킨,27555,4967,18.03,3859,14,19.97,-1.95,11.66,2.35
industry_open_close_out,2022,외식,한식,33774,11589,34.31,4960,14.69,31.24,3.08,13.38,1.3
industry_open_close_out,2023,외식,분식,12064,2149,17.81,2197,18.21,31.74,-13.93,14.96,3.25
industry_open_close_out,2023,외식,기타 외식,19080,4953,25.96,3492,18.3,28.29,-2.34,15.13,3.17
industry_open_close_out,2023,외식,커피,20652,5021,24.31,2026,9.81,24.96,-0.65,7.33,2.48
industry_open_close_out,2023,외식,치킨,24740,3787,15.31,3686,14.9,18.44,-3.13,14.06,0.84
industry_open_close_out,2023,외식,한식,34897,10530,30.17,6775,19.41,33.75,-3.58,14.41,5
industry_open_close_out,2024,외식,분식,11731,1781,15.18,2262,19.28,17.7,-2.51,18.09,1.19
industry_open_close_out,2024,외식,기타 외식,18132,3952,21.8,3962,21.85,25.21,-3.41,17.77,4.08
industry_open_close_out,2024,외식,커피,27642,5292,19.14,2713,9.81,24.14,-5,9.74,0.07
industry_open_close_out,2024,외식,치킨,29681,4005,13.49,3573,12.04,15.08,-1.58,14.68,-2.64
industry_open_close_out,2024,외식,한식,41032,13042,31.78,7781,18.96,29.33,2.45,18.87,0.09
industry_open_close_out,2025,외식,분식,11146,1381,12.39,1997,17.92,15.25,-2.86,19.38,-1.47
industry_open_close_out,2025,외식,기타 외식,18370,3099,16.87,3862,21.02,21.82,-4.95,21.93,-0.9
industry_open_close_out,2025,외식,치킨,28741,3368,11.72,3424,11.91,13.51,-1.79,12.05,-0.13
industry_open_close_out,2025,외식,커피,29091,4800,16.5,2708,9.31,19.17,-2.67,9.82,-0.52
industry_open_close_out,2025,외식,한식,43863,12046,27.46,9219,21.02,31.85,-4.39,19.01,2.01
