record_id,supplier_name,supplier_official_url,supplier_type,product_name,product_url,page_type,is_valid_product_detail_url,category,sub_category,origin,grade,storage_type,processing_type,pack_size_value,pack_size_unit,order_unit,units_per_case,minimum_order_quantity,displayed_price,vat_included,shipping_fee,free_shipping_threshold,normalized_price_per_kg_or_ea,delivery_to_busan,delivery_verification_status,stock_status,login_required,business_member_only,public_api_found,partnership_url,captured_at,source_confidence,confidence_observations,memo
p001,푸드엔,https://www.fooden.com,식자재마트/온라인몰,호주산 우 삼겹 돌돌이 2kg,https://www.fooden.com/shop/detail.php?pno=6317bacd8c99935ccef4aaea4d19fd02,product_detail,True,육류,냉동 우삼겹,호주산,,냉동,슬라이스/돌돌이,2,kg,case,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.98,"[0.95, 0.98]",상품정보고시로 원산지와 냉동 보관 확인 가능. 상세 URL 확보 완료. 부산 배송은 공개 문맥 기반 추정이므로 재확인 필요.
p002,푸드엔,https://www.fooden.com,식자재마트/온라인몰,미국 우삼겹)우육_외♧냉동,https://m.fooden.com/shop/product_qna.php?rno=132&pno=2a3e66ceb920f8280d17f0af0744c704&cate=,product_qna,False,육류,냉동 우삼겹,미국산,,냉동,,,,,,,1390,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.61,[0.61],"Q&A 페이지이므로 상품 상세 URL로는 부적합 가능성 있음. 표시가격 1,390원의 단위와 적용 조건도 불명확."
p003,푸드엔,https://www.fooden.com,식자재마트/온라인몰,운문산맑은샘쌀·20kg/유천미곡,https://m.fooden.com/shop/detail.php?pno=e796d399f63ed4ffb31a74b9d1180016,product_detail,True,쌀·채소·계란,업소용 쌀,,,,,20,kg,포,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.95,[0.95],20kg 상품 상세 URL 확인.
p004,푸드엔,https://www.fooden.com,식자재마트/온라인몰,신동진쌀·20kg/미풍라이스,https://m.fooden.com/shop/detail.php?pno=d58339dd389a20c0afd9b4eb71cf133b,product_detail,True,쌀·채소·계란,업소용 쌀,,,,,20,kg,포,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.92,[0.92],20kg 상품 상세 URL 확인.
p005,푸드엔,https://www.fooden.com,식자재마트/온라인몰,냉동 혼합야채(4종)·1kg(옥수수 외)/중국산,https://m.fooden.com/shop/detail.php?pno=d12574d1b28ea8f904895ebfa3e7c9d8,product_detail,True,쌀·채소·계란,냉동채소,중국산,,냉동,혼합,1,kg,봉,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.9,[0.9],냉동 채소 대체재. 여러 라운드에서 재확인됨.
p006,푸드엔,https://www.fooden.com,식자재마트/온라인몰,수입)씻은당근·10kg/중국산,https://m.fooden.com/shop/detail.php?pno=a8fdcc2f397c975df7d30e16a07d529b,product_detail,True,쌀·채소·계란,당근,중국산,,냉장,세척,10,kg,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],상품 상세 확인. 냉장 0~10℃로 기록됨.
p007,푸드엔,https://www.fooden.com,식자재마트/온라인몰,흙 대파·단/국내산,https://m.fooden.com/shop/recipe_view.php?no=38,recipe_page,False,쌀·채소·계란,대파,국내산,,,,,단,단,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],레시피 페이지에서 가격 노출이 확인되었으나 개별 상품 상세 URL이 아님.
p008,푸드엔,https://www.fooden.com,식자재마트/온라인몰,튀긴마늘 슬라이스 500g,https://m.fooden.com/shop/detail.php?pno=973da498f7f16cdda7e22dc64653d4c8,product_detail,True,쌀·채소·계란,마늘,,,,튀김/슬라이스,500,g,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],기존 확보 재확인 항목.
p009,푸드엔,https://www.fooden.com,식자재마트/온라인몰,명인 구운계란 10구/한일이에프,https://m.fooden.com/shop/detail.php?pno=be25adffd74926391d987617991ccc7b,product_detail,True,쌀·채소·계란,계란,,,,구운계란,10,개,팩,10,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],계란류 상세 URL 1개 확보.
p010,푸드엔,https://www.fooden.com,식자재마트/온라인몰,순창 현미태양초찰고추장 1.7kg(+300g)/대상,https://www.fooden.com/shop/detail.php?pno=8a19b724cd302ab39cf019ed3d445b51,product_detail,True,소스·조미료,고추장,,,,,1.7,kg,,,,9900,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.96,"[0.93, 0.96]","가격 스니펫 9,900원 확인. 증정 300g을 포함한 실제 총중량 기준 단가 계산은 상품 상세 재확인 필요."
p011,푸드엔,https://www.fooden.com,식자재마트/온라인몰,오쉐프 마요네스 3.2kg (봉)/오뚜기,https://www.fooden.com/shop/detail.php?pno=8154fbd95c58bf7705c695a4720ae362,product_detail,True,소스·조미료,마요네즈,,,,,3.2,kg,봉,,,11200,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,0.94,[0.94],업소용 대용량 마요네즈.
p012,푸드엔,https://www.fooden.com,식자재마트/온라인몰,삼광 999) 생와사비 750g(굵은입자)/대력,https://m.fooden.com/shop/detail.php?pno=0370aa7027134c169089389cfce1a23a,product_detail,True,소스·조미료,향신료/와사비,,,,굵은입자,750,g,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],향신료 상세 URL 확보.
p013,푸드엔,https://www.fooden.com,식자재마트/온라인몰,파슬리후레이크 200g/이슬나라,https://m.fooden.com/shop/detail.php?pno=2f3e29ff988ca1543a2c798faef2bf99,product_detail,True,소스·조미료,향신료/파슬리,,,,후레이크,200,g,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],향신료 보강용.
p014,푸드엔,https://www.fooden.com,식자재마트/온라인몰,청정원 햇살담은 조림간장 1.7L+500ml,https://m.fooden.com/shop/recipe_view.php?no=38,recipe_page,False,소스·조미료,간장,,,,,,,,,,,,,,,True,inferred_not_confirmed,unknown,False,False,False,,2026-06-07,,[],레시피 페이지 가격 노출. 개별 상세 URL 아님.
